timestamp,rpm,temp,humidity,gasdifference,status
06-09-2024 10:00,5575,35,66,130,normal
06-09-2024 10:05,6272,39,73,142,normal
06-09-2024 10:10,4849,21,57,120,error with humidity
06-09-2024 10:15,7363,37,77,144,normal
06-09-2024 10:20,8527,47,82,185,error with humidity
06-09-2024 10:25,5454,27,71,145,normal
06-09-2024 10:30,5727,35,74,179,normal
06-09-2024 10:35,7060,32,75,162,normal
06-09-2024 10:40,4849,21,57,120,error with rpm
06-09-2024 10:45,4667,18,52,124,error with rpm
06-09-2024 10:50,7818,39,76,177,normal
06-09-2024 10:55,4681,19,54,119,error with humidity
06-09-2024 11:00,7090,29,65,179,normal
06-09-2024 11:05,8036,42,85,191,error with humidity
06-09-2024 11:10,6363,27,69,142,normal
06-09-2024 11:15,5484,35,63,141,normal
06-09-2024 11:20,6545,31,71,155,normal
06-09-2024 11:25,8527,47,82,185,error with temp
06-09-2024 11:30,7909,30,62,144,normal
06-09-2024 11:35,6696,31,65,148,normal
06-09-2024 11:40,7939,33,67,166,normal
06-09-2024 11:45,8129,43,89,185,error with temp
06-09-2024 11:50,8361,48,86,191,error with humidity
06-09-2024 11:55,5909,38,77,179,normal
06-09-2024 12:00,5272,38,61,163,normal
06-09-2024 12:05,4778,15,51,123,error with airflow
06-09-2024 12:10,6818,31,79,171,normal
06-09-2024 12:15,5545,32,73,136,normal
06-09-2024 12:20,8935,47,86,192,error with humidity
06-09-2024 12:25,4849,21,57,120,error with airflow
06-09-2024 12:30,8789,46,81,195,error with rpm
06-09-2024 12:35,6666,35,76,159,normal
06-09-2024 12:40,8129,43,89,185,error with humidity
06-09-2024 12:45,8536,45,84,187,error with temp
06-09-2024 12:50,7000,25,71,173,normal
06-09-2024 12:55,5878,33,70,139,normal
06-09-2024 13:00,4594,18,56,122,error with rpm
06-09-2024 13:05,6969,26,70,166,normal
06-09-2024 13:10,7030,37,75,132,normal
06-09-2024 13:15,5939,36,74,134,normal
06-09-2024 13:20,5363,27,64,140,normal
06-09-2024 13:25,6242,30,65,138,normal
06-09-2024 13:30,8445,45,81,192,error with temp
06-09-2024 13:35,8129,43,89,185,error with rpm
06-09-2024 13:40,8997,46,87,199,error with airflow
06-09-2024 13:45,4778,15,51,123,error with temp
